Brand,Description,Processor,RAM,Screen,Hard Drive Disc,State Solid Disc,Price
LENOVO,Portátil Lenovo Idea 14itl6 Core I3 11va 8gb 1tb, Intel Core i3, 8GB, 14 pulgadas, 1TB, No aplica,1.785.000
ASUS,Portátil Asus X415ma-Bv040ts Cel 4gb 128gb Ssd 14, Intel, 4GB, 14 pulgadas, 128 GB, No aplica,1.415.900
ASUS,Portátil asus core i5 8gb 25gb ssd freedos, Intel Core i5, 8GB, 13.3 pulgadas, No aplica, 256GB,2.849.900
LENOVO,Portátil Lenovo Yoga slim 7 Ci7 16G 14 Pulgadas Intel Core i7 16GB 512GB, Intel Core i7, 16GB, 14 pulgadas, No aplica, 512GB,4.899.900
ACER,Portátil Acer ConcetD 3 15.6 Pulgadas Intel Core i7 16GB 1TB, Intel Core i7, 16GB, 15.6 pulgadas, No aplica, 1TB,5.899.000
ACER,Portátil Acer ConcetD 3 15.6 Pulgadas Intel Core i5 8GB 512GB, Intel Core i5, 8GB, 15.6 pulgadas, No aplica, 512GB,4.199.000
DELL,Portatil dell inspiron 15 3505 ryzen 5," 2,1", 8GB, 15.6 pulgadas,NA, 256GB,2.419.888
DELL,"Portátil dell inspiron 3501 15.6"" core i3 4gb 1tb", Intel Core i3, 4GB, 15.6 pulgadas, 1TB, No aplica,1.539.900
HP,Portátil Hp 15-Dy2062la Intel Core I3 1125g4 4gb 2, Intel Core i3, 4GB, 15 pulgadas, No aplica, 256GB,1.692.900
LENOVO,Lenovo v14 intel ci3 4gb 256gb 1005g1., Intel Core i3, 4GB, 14 pulgadas, No aplica, 256GB,1.499.888
HP,All in one HP Pavilion 27 Pulgadas Intel Core i7 16GB 1TB 256GB, Intel Core i7, 16GB, 27 pulgadas, 1TB, 256GB,5.799.000
HP,Portátil HP 15.6 Pulgadas AMD RYZEN R3 4GB 256GB, AMD RYZEN R3, 4GB, 15.6 pulgadas, No aplica, 256GB,1.749.000
APPLE,MacBook Pro Chip M1 Pro 512GB SSD Gris espacial MKGP3E/A 14.2 Pulgadas, Chip M1 Pro, 16GB, 14.2 pulgadas, No aplica, 512GB,10.906.900
LENOVO,Portatil lenovo amd a9 ram8gb 256gbssd win10, AMD A9, 8GB, 14 pulgadas, No aplica, 256GB,1.676.100
ASUS,"Portatil asus x409ma celeron 14"" 4020u 1 tb 4 gb", Dual Core, 4GB, 14 pulgadas, 1TB,NA,1.099.000
ACER,Portatil acer nitro 5 an515-43-r0g3 r7, AMD RYZEN R7, 8GB, 15 pulgadas, No aplica, 512GB,4.581.000
HP,Portatil hp 245 g7 amd 3020e 4gb 1tb linux, AMD, 4GB, 14 pulgadas, 1TB, No aplica,1.053.390
ASUS,Portatil asus x409ma intel celeron 4gb 1tb endless, Intel Celeron, 4GB, 14 pulgadas, 1TB, No aplica,1.054.500
ASUS,Portátil Asus Zenbook Flip S13 OLED 13.3 Pulgadas Intel Core i5 16GB 512GB, Intel Core i5, 16GB, 13.3 pulgadas, No aplica, 512GB,5.299.900
LENOVO,Portátil lenovo 81ms000xlm 14 puLGadas 4gb 500gb h, AMD A6, 4GB, 14 pulgadas, 500GB, No aplica,1.279.888
ACER,Portátil Acer ConcetD 7 Ezel 15.6 Pulgadas Intel Core i7 16GB 1TB, Intel Core i7, 16GB, 15.6 pulgadas, No aplica, 1TB,9.199.000
LENOVO,Portátil Lenovo v14 amd 3020e, AMD, 4GB, 14 pulgadas, 1TB, No aplica,1.044.900
